OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||270701053753654|07813|Bisbee, AZ Urban Area|8165838|0|G3500|S|1193149|0
|||||||27070322692148|07840|Bishop, CA Urban Area|14219124|17292|G3500|S|3615552|0
|||||||27070132793617|07921|Bismarck, ND Urban Area|108402649|1047286|G3500|S|18595389|76775
|||||||27070680898010|07948|Blackfoot, ID Urban Area|19458927|459187|G3500|S|1391497|393358
|||||||27070689524432|07975|Black River Falls, WI Urban Area|9592872|8248|G3500|S|1387095|0
|||||||270701172236532|08002|Blacksburg--Christiansburg, VA Urban Area|88004948|135579|G3500|S|6972568|38289
|||||||27070721999602|08083|Blackwell, OK Urban Area|9955610|17842|G3500|S|853546|0
|||||||27070228430626|08137|Blair, NE Urban Area|21189662|0|G3500|S|11143455|0
|||||||27070269641802|08164|Blairsville, PA Urban Area|13521907|4980|G3500|S|2821398|0
|||||||270701462454008|08353|Bloomfield, NM Urban Area|16180989|87446|G3500|S|2312308|45889
|||||||27070115152846|08380|Bloomington, IN Urban Area|111461459|13178|G3500|S|10995170|0
|||||||27070353889477|08407|Bloomington--Normal, IL Urban Area|130436714|571357|G3500|S|10310178|0
|||||||27070227431332|08434|Bloomsburg--Berwick, PA Urban Area|53729115|1385178|G3500|S|7766733|689621
|||||||2707032391317941|08470|Blowing Rock, NC Urban Area|8284152|113630|G3500|S|8284152|113630
|||||||27070772515150|08515|Bluefield, WV--VA Urban Area|100230880|360007|G3500|S|11845764|35086
|||||||2707063121976|08542|Bluffton, IN Urban Area|16844842|198848|G3500|S|1126062|3621
|||||||2707032391318093|08601|Bluffton East--Hilton Head Island, SC Urban Area|163794642|4715792|G3500|S|9475984|601049
|||||||2707032391318094|08607|Bluffton West, SC Urban Area|60360788|87316|G3500|S|33685224|0
|||||||27070435571718|08623|Blythe, CA--AZ Urban Area|16059355|110393|G3500|S|2164473|106957
|||||||2707086077434|08650|Blytheville, AR Urban Area|37636444|0|G3500|S|15209930|0
|||||||27070712396688|08704|Boerne, TX Urban Area|24995790|0|G3500|S|8204506|0
|||||||27070282051922|08731|Bogalusa, LA Urban Area|28238846|77121|G3500|S|7499665|0
|||||||27070339399590|08785|Boise City, ID Urban Area|360604917|5022231|G3500|S|38293095|328389
|||||||27070676067548|08812|Bolivar, MO Urban Area|15321678|21991|G3500|S|1461015|195
|||||||27070153968140|08866|Bolivar, TN Urban Area|12278310|0|G3500|S|2219404|0
|||||||27070301198542|08920|Bonham, TX Urban Area|13023790|0|G3500|S|890028|0
|||||||27070349587830|08974|Bonita Springs--Estero, FL Urban Area|629261315|54438285|G3500|S|102917420|17978288
|||||||2707032391317893|09005|Bonne Terre, MO Urban Area|5703065|53277|G3500|S|170027|0
|||||||27070674048275|09028|Boone, IA Urban Area|19706645|3221|G3500|S|2635831|3221
|||||||27070676710204|09055|Boone, NC Urban Area|47104231|176287|G3500|S|13831895|76718
|||||||27070114652160|09109|Booneville, MS Urban Area|16497866|27004|G3500|S|2894547|27004
|||||||27070353008192|09163|Boonville, IN Urban Area|7326458|34048|G3500|S|672101|0
|||||||27070420942029|09190|Boonville, MO Urban Area|15083778|58042|G3500|S|3774083|30020
|||||||2707032391317892|09200|Boothbay Harbor, ME Urban Area|29076101|10829901|G3500|S|29076101|10829901
|||||||27070132504251|09217|Borger, TX Urban Area|24389656|51733|G3500|S|1662166|40740
|||||||27070206517502|09271|Boston, MA--NH Urban Area|4288728505|185677268|G3500|S|180284258|17747088
|||||||27070701443377|09298|Boulder, CO Urban Area|65911869|655779|G3500|S|3407094|216483
|||||||27070679602435|09325|Boulder City, NV Urban Area|14826356|0|G3500|S|769659|0
|||||||27070474542008|09352|Bowie, TX Urban Area|11176169|46255|G3500|S|1773509|0
|||||||27070368673165|09379|Bowling Green, KY Urban Area|135135616|760052|G3500|S|22255473|190511
|||||||27070336790883|09433|Bowling Green, OH Urban Area|29366514|165541|G3500|S|2988448|0
|||||||27070212061136|09460|Box Elder, SD Urban Area|15755001|0|G3500|S|3650874|0
|||||||27070296610893|09487|Boyne City, MI Urban Area|13768973|172067|G3500|S|6654172|115560
|||||||27070230401865|09514|Bozeman, MT Urban Area|55406356|137703|G3500|S|12821051|71776
|||||||2707032391317949|09536|Bradenton--Sarasota--Venice, FL Urban Area|1047084870|102433799|G3500|S|227478073|22617042
|||||||27070279961980|09541|Bradford, PA--NY Urban Area|14874372|289937|G3500|S|2174891|103034
|||||||27070709565730|09568|Brady, TX Urban Area|7577027|19525|G3500|S|500997|0
|||||||27070506947995|09622|Brainerd, MN Urban Area|41800334|2606175|G3500|S|3872412|27561
|||||||27070221688124|09649|Brandon, SD Urban Area|12126940|6506|G3500|S|3483643|0
|||||||27070717913067|09676|Branson, MO Urban Area|90219202|1146904|G3500|S|25398377|86362
|||||||27070264616434|09703|Brattleboro, VT Urban Area|14831844|101337|G3500|S|2750525|14998
|||||||2707032391318088|09757|Brazil, IN Urban Area|17102535|49727|G3500|S|3425974|15661
|||||||270704485566394|09801|Breaux Bridge, LA Urban Area|55075902|797786|G3500|S|15031041|369722
|||||||27070710544747|09811|Breckenridge, CO Urban Area|28879151|0|G3500|S|13026580|0
|||||||27070411727930|09838|Breckenridge, TX Urban Area|12554020|9818|G3500|S|3057622|0
|||||||27070263619653|09865|Breese, IL Urban Area|6068055|0|G3500|S|613802|0
|||||||27070109224207|09892|Bremen, GA Urban Area|19104846|20518|G3500|S|5494488|0
|||||||27070909121926|09946|Bremerton, WA Urban Area|380494577|82515494|G3500|S|49221853|1259489
|||||||27070744611206|09973|Brenham, TX Urban Area|26583191|79918|G3500|S|6412183|33975
|||||||27070348166809|10027|Brevard, NC Urban Area|35797279|9489|G3500|S|10793022|9405
